cycle number	Q discharge/mA.h	Q charge/mA.h	Ewe/V	(Q-Qo)/mA.h	time/s	<I>/mA	Capacity/mA.h	Efficiency/%	
0,000000000000000E+000	0,000000000000000E+000	3,810658375601239E-001	2,9484794E+000	3,810658375601239E-001	3,147637920483976E+002	4,501300192438222E+000	3,810658375601239E-001	0,0000000E+000
0,000000000000000E+000	0,000000000000000E+000	4,185769793609513E-001	2,9559114E+000	4,185769793609513E-001	3,447637912905338E+002	4,501337129812635E+000	4,185769793609513E-001	0,0000000E+000
0,000000000000000E+000	0,000000000000000E+000	4,560896760182381E-001	2,9631336E+000	4,560896760182381E-001	3,747637905326701E+002	4,501523712592464E+000	4,560896760182381E-001	0,0000000E+000
0,000000000000000E+000	0,000000000000000E+000	4,936016219210625E-001	2,9703212E+000	4,936016219210625E-001	4,047637897748064E+002	4,501433622054707E+000	4,936016219210625E-001	0,0000000E+000
0,000000000000000E+000	0,000000000000000E+000	5,311133077036010E-001	2,9772873E+000	5,311133077036010E-001	4,347637890169426E+002	4,501402407619612E+000	5,311133077036010E-001	0,0000000E+000
0,000000000000000E+000	0,000000000000000E+000	5,686247972279125E-001	2,9841275E+000	5,686247972279125E-001	4,647637882590789E+002	4,501378856631773E+000	5,686247972279125E-001	0,0000000E+000
0,000000000000000E+000	0,000000000000000E+000	6,061356323907905E-001	2,9909332E+000	6,061356323907905E-001	4,947637875012151E+002	4,501300333257776E+000	6,061356323907905E-001	0,0000000E+000
0,000000000000000E+000	0,000000000000000E+000	6,436466385652754E-001	2,9975939E+000	6,436466385652754E-001	5,247637867433514E+002	4,501320854651117E+000	6,436466385652754E-001	0,0000000E+000
0,000000000000000E+000	0,000000000000000E+000	6,570845358877712E-001	3,0000153E+000	6,570845358877712E-001	5,355109864718543E+002	4,501305603606172E+000	6,570845358877712E-001	0,0000000E+000
0,000000000000000E+000	0,000000000000000E+000	6,570847859519587E-001	2,9999847E+000	6,570847859519587E-001	5,355111864718492E+002	4,501155490143078E+000	6,570847859519587E-001	0,0000000E+000
0,000000000000000E+000	0,000000000000000E+000	6,570847859519587E-001	2,9517791E+000	6,570852860824532E-001	5,355595864706265E+002	0,000000000000000E+000	6,570847859519587E-001	0,0000000E+000
0,000000000000000E+000	0,000000000000000E+000	6,570847859519587E-001	2,8916273E+000	6,570852860824532E-001	6,555597834391665E+002	0,000000000000000E+000	6,570847859519587E-001	0,0000000E+000
0,000000000000000E+000	0,000000000000000E+000	6,570847859519587E-001	2,8840311E+000	6,570852860824532E-001	7,755599804077065E+002	0,000000000000000E+000	6,570847859519587E-001	0,0000000E+000
0,000000000000000E+000	0,000000000000000E+000	6,570847859519587E-001	2,8816402E+000	6,570852860824532E-001	8,355113788932067E+002	0,000000000000000E+000	6,570847859519587E-001	0,0000000E+000
0,000000000000000E+000	2,333678139580621E-007	0,000000000000000E+000	2,8495445E+000	6,570850527146392E-001	8,355115788932017E+002	-4,200620757361723E+000	2,333678139580621E-007	0,0000000E+000
0,000000000000000E+000	4,805560906728108E-007	0,000000000000000E+000	2,8436849E+000	6,570848055263625E-001	8,355117788931966E+002	-4,449389093266501E+000	4,805560906728108E-007	0,0000000E+000
0,000000000000000E+000	5,495717912250095E-005	0,000000000000000E+000	2,8336637E+000	6,570303289033307E-001	8,355553788920952E+002	-4,498069905249641E+000	5,495717912250095E-005	0,0000000E+000
0,000000000000000E+000	5,255134094821082E-004	0,000000000000000E+000	2,8236575E+000	6,565597726729711E-001	8,359319788825815E+002	-4,498147828169644E+000	5,255134094821082E-004	0,0000000E+000
0,000000000000000E+000	2,061359168688456E-003	0,000000000000000E+000	2,8136170E+000	6,550239269137648E-001	8,371611788515293E+002	-4,498084016285612E+000	2,061359168688456E-003	0,0000000E+000
0,000000000000000E+000	6,070622166819042E-003	0,000000000000000E+000	2,8036108E+000	6,510146639156341E-001	8,403699787704682E+002	-4,498051345639220E+000	6,070622166819042E-003	0,0000000E+000
0,000000000000000E+000	1,478525834698147E-002	0,000000000000000E+000	2,7936084E+000	6,423000277354717E-001	8,473449785942648E+002	-4,497876851774278E+000	1,478525834698147E-002	0,0000000E+000
0,000000000000000E+000	2,972255518971549E-002	0,000000000000000E+000	2,7835946E+000	6,273627308927378E-001	8,593007782922359E+002	-4,497755900257180E+000	2,972255518971549E-002	0,0000000E+000
0,000000000000000E+000	5,100135905721452E-002	0,000000000000000E+000	2,7735844E+000	6,060839270252387E-001	8,763325778619765E+002	-4,497686437027716E+000	5,100135905721452E-002	0,0000000E+000
0,000000000000000E+000	7,760741823750072E-002	0,000000000000000E+000	2,7635820E+000	5,794778678449525E-001	8,976279773240094E+002	-4,497770197727325E+000	7,760741823750072E-002	0,0000000E+000
0,000000000000000E+000	1,087437849420971E-001	0,000000000000000E+000	2,7535796E+000	5,483415011403561E-001	9,225493766944419E+002	-4,497777932548011E+000	1,087437849420971E-001	0,0000000E+000
0,000000000000000E+000	1,436383207019435E-001	0,000000000000000E+000	2,7435696E+000	5,134469653805097E-001	9,504785759888910E+002	-4,497813467943351E+000	1,436383207019435E-001	0,0000000E+000
0,000000000000000E+000	1,811199298723274E-001	0,000000000000000E+000	2,7337239E+000	4,759653562101258E-001	9,804785752310272E+002	-4,497793214069879E+000	1,811199298723274E-001	0,0000000E+000
0,000000000000000E+000	2,186009637378851E-001	0,000000000000000E+000	2,7243669E+000	4,384843223445680E-001	1,010478574473163E+003	-4,497724177489003E+000	2,186009637378851E-001	0,0000000E+000
0,000000000000000E+000	2,560825459912353E-001	0,000000000000000E+000	2,7154796E+000	4,010027400912179E-001	1,040478573715300E+003	-4,497789984025751E+000	2,560825459912353E-001	0,0000000E+000
0,000000000000000E+000	2,935638170563909E-001	0,000000000000000E+000	2,7068903E+000	3,635214690260622E-001	1,070478572957436E+003	-4,497752641441468E+000	2,935638170563909E-001	0,0000000E+000
0,000000000000000E+000	3,310451332247256E-001	0,000000000000000E+000	2,6985645E+000	3,260401528577275E-001	1,100478572199572E+003	-4,497758053823095E+000	3,310451332247256E-001	0,0000000E+000
0,000000000000000E+000	3,685263671642938E-001	0,000000000000000E+000	2,6904297E+000	2,885589189181593E-001	1,130478571441708E+003	-4,497748186370861E+000	3,685263671642938E-001	0,0000000E+000
0,000000000000000E+000	4,060080319524605E-001	0,000000000000000E+000	2,6824858E+000	2,510772541299926E-001	1,160478570683845E+003	-4,497799888203984E+000	4,060080319524605E-001	0,0000000E+000
0,000000000000000E+000	4,434886494537458E-001	0,000000000000000E+000	2,6746182E+000	2,135966366287073E-001	1,190478569925981E+003	-4,497674213775048E+000	4,434886494537458E-001	0,0000000E+000
0,000000000000000E+000	4,809700018874008E-001	0,000000000000000E+000	2,6669800E+000	1,761152841950523E-001	1,220478569168117E+003	-4,497762405661635E+000	4,809700018874008E-001	0,0000000E+000
0,000000000000000E+000	5,184513141072060E-001	0,000000000000000E+000	2,6594677E+000	1,386339719752471E-001	1,250478568410254E+003	-4,497757579999536E+000	5,184513141072060E-001	0,0000000E+000
